c_date,option_symbol,dte,stocks_id,expiration_date,call_put,price_strike,price_open,price_high,price_low,price,volume,openinterest,iv,delta,preiv,gamma,theta,vega,rho,Ask,Bid,underlying_price,calc_OTM,option_id
2024-10-04 00:00:00.0,UCG 261218C00000260000A.XMIL,805,19123,2026-12-18 00:00:00.0,C,26.0,0.0,0.0,0.0,13.047,0,225,0.376018,0.88598,-1.0,0.014128,-0.004417,0.09547,0.213226,0.001,0.001,38.82,-33.02,
2024-10-04 00:00:00.0,UCG 261218C00000280000A.XMIL,805,19123,2026-12-18 00:00:00.0,C,28.0,0.0,0.0,0.0,11.3512,0,0,0.246106,0.939282,0.246106,0.015594,-0.002881,0.060674,0.183828,0.001,0.001,38.82,-27.87,
2024-10-04 00:00:00.0,UCG 261218C00000300000A.XMIL,805,19123,2026-12-18 00:00:00.0,C,30.0,0.0,0.0,0.0,9.8368,0,698,0.262022,0.86224,0.262022,0.024048,-0.004016,0.102053,0.232116,0.001,0.001,38.82,-22.72,
2024-10-04 00:00:00.0,UCG 261218C00000320000A.XMIL,805,19123,2026-12-18 00:00:00.0,C,32.0,0.0,0.0,0.0,8.4585,0,0,0.26467,0.787843,0.26467,0.028644,-0.00455,0.148676,0.271394,0.001,0.001,38.82,-17.57,
2024-10-04 00:00:00.0,UCG 261218C00000340000A.XMIL,805,19123,2026-12-18 00:00:00.0,C,34.0,0.0,0.0,0.0,7.2154,0,0,0.262902,0.715817,0.262902,0.031083,-0.004716,0.173367,0.289231,0.001,0.001,38.82,-12.42,
2024-10-04 00:00:00.0,UCG 261218C00000360000A.XMIL,805,19123,2026-12-18 00:00:00.0,C,36.0,0.0,0.0,0.0,6.0731,0,0,0.257434,0.645909,0.257434,0.032574,-0.004657,0.190425,0.294594,0.001,0.001,38.82,-7.26,
2024-10-04 00:00:00.0,UCG 261218C00000380000A.XMIL,805,19123,2026-12-18 00:00:00.0,C,38.0,0.0,0.0,0.0,5.1036,0,200,0.254236,0.578201,0.254236,0.032972,-0.004527,0.202543,0.291708,0.001,0.001,38.82,-2.11,
2024-10-04 00:00:00.0,UCG 261218C00000400000A.XMIL,805,19123,2026-12-18 00:00:00.0,C,40.0,0.0,0.0,0.0,4.2711,0,275,0.251148,0.514199,0.251148,0.032844,-0.004343,0.20443,0.276685,0.001,0.001,38.82,3.04,
2024-10-04 00:00:00.0,UCG 261218C00000440000A.XMIL,805,19123,2026-12-18 00:00:00.0,C,44.0,0.0,0.0,0.0,3.0421,0,200,0.251008,0.402664,0.251008,0.030804,-0.003962,0.204999,0.237229,0.001,0.001,38.82,13.34,
2024-10-04 00:00:00.0,UCG 261218C00000480000A.XMIL,805,19123,2026-12-18 00:00:00.0,C,48.0,0.0,0.0,0.0,2.2106,0,0,0.253794,0.313971,0.253794,0.027482,-0.003537,0.18646,0.195459,0.001,0.001,38.82,23.65,
2024-10-04 00:00:00.0,UCG 261218C00000520000A.XMIL,805,19123,2026-12-18 00:00:00.0,C,52.0,0.0,0.0,0.0,1.6049,0,0,0.255862,0.242859,0.255862,0.023819,-0.003066,0.165977,0.158199,0.001,0.001,38.82,33.95,
2024-10-04 00:00:00.0,UCG 261218C00000560000A.XMIL,805,19123,2026-12-18 00:00:00.0,C,56.0,0.0,0.0,0.0,1.1594,0,0,0.25715,0.186191,0.25715,0.020182,-0.002592,0.146031,0.125383,0.001,0.001,38.82,44.26,
2024-10-04 00:00:00.0,UCG 261218C00000600000A.XMIL,805,19123,2026-12-18 00:00:00.0,C,60.0,0.0,0.0,0.0,0.8559,0,0,0.259535,0.143916,0.259535,0.016837,-0.002181,0.122364,0.100122,0.001,0.001,38.82,54.56,
2024-10-04 00:00:00.0,UCG 261218C00000640000A.XMIL,805,19123,2026-12-18 00:00:00.0,C,64.0,0.0,0.0,0.0,0.6289,0,0,0.260916,0.110894,0.260916,0.013833,-0.001798,0.09911,0.072419,0.001,0.001,38.82,64.86,
2024-10-04 00:00:00.0,UCG 261218C00000680000A.XMIL,805,19123,2026-12-18 00:00:00.0,C,68.0,0.0,0.0,0.0,0.4527,0,0,0.260768,0.083905,0.260768,0.011277,-0.001454,0.080754,0.055304,0.001,0.001,38.82,75.17,
2024-10-04 00:00:00.0,UCG 261218C00000720000A.XMIL,805,19123,2026-12-18 00:00:00.0,C,72.0,0.0,0.0,0.0,0.3352,0,0,0.262019,0.064538,0.262019,0.009183,-0.001189,0.066077,0.042826,0.001,0.001,38.82,85.47,
2024-10-04 00:00:00.0,UCG 261218C00000760000A.XMIL,805,19123,2026-12-18 00:00:00.0,C,76.0,0.0,0.0,0.0,0.247,0,0,0.262743,0.049359,0.262743,0.007414,-0.00096,0.053493,0.03296,0.001,0.001,38.82,95.78,
2024-10-04 00:00:00.0,UCG 261218C00000800000A.XMIL,805,19123,2026-12-18 00:00:00.0,C,80.0,0.0,0.0,0.0,0.1784,0,0,0.262411,0.037104,0.262411,0.005894,-0.000758,0.042475,0.024937,0.001,0.001,38.82,106.08,
